accession,title,description
PF08781.13,Transcription factor DP,DP forms a heterodimer with E2F and regulates genes involved in cell cycle progression. The transcriptional activity of E2F is inhibited by the retinoblastoma protein which binds to the E2F-DP heterodimer and negatively regulates the G1-S transition.
PF00175.24,Oxidoreductase NAD-binding domain,"Xanthine dehydrogenases, that also bind FAD/NAD, have essentially no similarity."
PF01852.22,START domain,"Ponting CP, Aravind L; , Trends Biochem Sci 1999;24:130-132.: START: a lipid-binding domain in StAR, HD-ZIP and signalling proteins. PUBMED:10322415 EPMC:10322415"
PF01554.21,MatE,The MatE domain
PF08797.14,HIRAN domain,"The HIRAN domain (HIP116, Rad5p N-terminal) is found in the N-terminal regions of the SWI2/SNF2 proteins typified by HIP116 and Rad5p. The HIRAN domain is found as a standalone protein in several bacteria and prophages, or fused to other catalytic domains, such as a nuclease of the restriction endonuclease fold and TDP1-like DNA phosphoesterases, in the eukaryotes. It has been predicted that this domain functions as a DNA-binding domain that probably recognises features associated with damaged DNA or stalled replication forks"
PF00027.32,Cyclic nucleotide-binding domain,"This domain sensor domain can bind cAMP, cGMP, c-di-GMP, oxygen and 2-oxoglutarate (Matilla et. al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1. https://doi.org/10.1093/femsre/fuab043)."
PF12498.11,Basic leucine-zipper C terminal,"This family of proteins is found in eukaryotes. Proteins in this family are typically between 174 and 411 amino acids in length. The family is found in association with PF00170. There is a conserved KVK sequence motif. There is a single completely conserved residue K that may be functionally important. Various bZIP proteins have been found and shown to play a role in seed-specific gene expression. bZIP binds to the alpha-globulin gene promoter, but not to promoters of other major storage genes such as glutelin, prolamin and albumin."
PF03126.21,Plus-3 domain,"This domain is about 90 residues in length and is often found associated with the PF02213 domain. The function of this domain is uncertain. It is possible that this domain is involved in DNA binding as it has three conserved positively charged residues, hence this domain has been named the plus-3 domain. It is found in yeast Rtf1 which may be a transcription elongation factor."
PF03803.18,Scramblase,Scramblase is palmitoylated and contains a potential protein kinase C phosphorylation site. Scramblase exhibits Ca2+-activated phospholipid scrambling activity in vitro. There are also possible SH3 and WW binding motifs. Scramblase is involved in the redistribution of phospholipids after cell activation or injury.
PF14215.9,bHLH-MYC and R2R3-MYB transcription factors N-terminal,"This is the N-terminal region of a family of MYB and MYC transcription factors. The DNA-binding HLH domain is further downstream, PF00010. Members of the MYB and MYC family regulate the biosynthesis of phenylpropanoids in several plant species ( DOI:10.1007/s11295-009-0232-y)."
PF17872.4,AAA lid domain,This entry represents the alpha helical AAA+ lid domain that is found to the C-terminus of AAA domains.
PF13872.9,P-loop containing NTP hydrolase pore-1,"Strawberry notch proteins carry DExD/H-box groups and helicase C-terminal domains. These proteins promote the expression of diverse targets, potentially through interactions with transcriptional activator or repressor complexes"
PF12171.11,Zinc-finger double-stranded RNA-binding,"This domain family is found in archaea and eukaryotes, and is approximately 30 amino acids in length. The mammalian members of this group occur multiple times along the protein, joined by flexible linkers, and are referred to as JAZ - dsRNA-binding ZF protein - zinc-fingers. The JAZ proteins are expressed in all tissues tested and localise in the nucleus, particularly the nucleolus. JAZ preferentially binds to double-stranded (ds) RNA or RNA/DNA hybrids rather than DNA. In addition to binding double-stranded RNA, these zinc-fingers are required for nucleolar localisation."
PF03770.19,Inositol polyphosphate kinase,ArgRIII has has been demonstrated to be an inositol polyphosphate kinase.
PF00931.25,NB-ARC domain,"van der Biezen EA, Jones JD; , Curr Biol 1998;8:226-227.: The NB-ARC domain: a novel signalling motif shared by plant resistance gene products and regulators of cell death in animals. PUBMED:9545207 EPMC:9545207"
PF00313.25,Cold-shock DNA-binding domain,"Schindelin H, Jiang W, Inouye M, Heinemann U; , Proc Natl Acad Sci U S A 1994;91:5119-5123.: Crystal structure of CspA, the major cold shock protein of Escherichia coli. PUBMED:8197194 EPMC:8197194"
PF16879.8,C-terminal domain of Sin3a protein,"Sin3a_C is a family of eukaryotic species. It is found at the C-terminus of the co-repressor Sin3a, and downstream of family Sin3_corepress, PF08295."
PF00447.20,HSF-type DNA-binding,"Heat Shock Factor (HSF), in molecular biology, is the name given to transcription factors that regulate the expression of the heat shock proteins."
PF02362.24,B3 DNA binding domain,"This is a family of plant transcription factors with various roles in development, the aligned region corresponds the B3 DNA binding domain as described in this domain is found in VP1/AB13 transcription factors. Some proteins also have a second AP2 DNA binding domain PF00847 such as RAV1 Q9ZWM9. DNA binding activity was demonstrated by."
PF08513.14,LisH,"The LisH (lis homology) domain mediates protein dimerisation and tetramerisation. The LisH domain is found in Sif2, a component of the Set3 complex which is responsible for repressing meiotic genes. It has been shown that the LisH domain helps mediate interaction with components of the Set3 complex."
PF00566.21,Rab-GTPase-TBC domain,"Identification of a TBC domain in GYP6_YEAST and GYP7_YEAST, which are GTPase activator proteins of yeast Ypt6 and Ypt7, implies that these domains are GTPase activator proteins of Rab-like small GTPases."
PF00091.28,"Tubulin/FtsZ family, GTPase domain","This family includes the tubulin alpha, beta and gamma chains, as well as the bacterial FtsZ family of proteins. Members of this family are involved in polymer formation. FtsZ is the polymer-forming protein of bacterial cell division. It is part of a ring in the middle of the dividing cell that is required for constriction of cell membrane and cell envelope to yield two daughter cells. FtsZ and tubulin are GTPases. FtsZ can polymerise into tubes, sheets, and rings in vitro and is ubiquitous in eubacteria and archaea. Tubulin is the major component of microtubules."
PF05116.16,Sucrose-6F-phosphate phosphohydrolase,This family consists of Sucrose-6F-phosphate phosphohydrolase proteins found in plants and cyanobacteria. Sucrose-6(F)-phosphate phosphohydrolase catalyses the final step in the pathway of sucrose biosynthesis.
PF16544.8,Homodimerisation region of STAR domain protein,"This family is the homodimerisation domain of quaking proteins. Quaking-dimer is a helix-turn-helix dimer with an additional helix in the turn region. Dimerisation is required for adequate RNA-binding. Quaking is a prototypical member of the STAR (signal transducer and activator of RNA) protein family, which plays key roles in post-transcriptional gene regulation by controlling mRNA translation, stability and splicing. STAR_dimer is the homodimerisation domain, Qua1 of the STAR domain of a series of proteins referred to as STAR/GSG, or Signal Transduction and Activation of RNA/GRP33, Sam68, GLD-1 family. These are conserved in higher eukaryotes and are RNA-binding transcriptional regulators. The STAR domain is a KH domain flanked by two homologous regions, Qua1 and Qua2. Qua1, this family, is the homodimerisation domain, and the KH plus Qua2 is the RNA-binding region."
PF12874.10,Zinc-finger of C2H2 type,"This is a zinc-finger domain with the CxxCx(12)Hx(6)H motif, found in multiple copies in a wide range of proteins from plants to metazoans. Some member proteins, particularly those from plants, are annotated as being RNA-binding."
PF03371.18,PRP38 family,Members of this family are related to the pre mRNA splicing factor PRP38 from yeast. Therefore all the members of this family could be involved in splicing. This conserved region could be involved in RNA binding. The putative domain is about 180 amino acids in length. PRP38 is a unique component of the U4/U6.U5 tri-small nuclear ribonucleoprotein (snRNP) particle and is necessary for an essential step late in spliceosome maturation.
PF13892.9,DNA-binding domain,DBINO is a DNA-binding domain found on global transcription activator SNF2L1 proteins and chromatin re-modelling proteins.
PF00400.35,"WD domain, G-beta repeat","Neer EJ, Schmidt CJ, Nambudripad R, Smith TF; , Nature 1994;371:297-300.: The ancient regulatory-protein family of WD-repeat proteins. PUBMED:8090199 EPMC:8090199"
PF08246.15,Cathepsin propeptide inhibitor domain (I29),This domain is found at the N-terminus of some C1 peptidases such as Cathepsin L where it acts as a propeptide. There are also a number of proteins that are composed solely of multiple copies of this domain such as the peptidase inhibitor salarin Q70SU8. This family is classified as I29 by MEROPS.
PF13724.9,DNA-binding domain,"This domain, often found on ovate proteins, binds to single-stranded and double-stranded DNA. Binding to DNA is not sequence-specific."
PF00097.28,"Zinc finger, C3HC4 type (RING finger)","The C3HC4 type zinc-finger (RING finger) is a cysteine-rich domain of 40 to 60 residues that coordinates two zinc ions, and has the consensus sequence: C-X2-C-X(9-39)-C-X(1-3)-H-X(2-3)-C-X2-C-X(4-48)-C-X2-C where X is any amino acid. Many proteins containing a RING finger play a key role in the ubiquitination pathway."
PF03638.18,"Tesmin/TSO1-like CXC domain, cysteine-rich domain",This family includes proteins that have two copies of a cysteine rich motif as follows: C-X-C-X4-C-X3-YC-X-C-X6-C-X3-C-X-C-X2-C. The family includes Tesmin Q9Y4I5 and TSO1 Q9LE32. This family is called a CXC domain in.
PF00862.22,Sucrose synthase,Sucrose synthases catalyse the synthesis of sucrose from UDP-glucose and fructose. This family includes the bulk of the sucrose synthase protein. However the carboxyl terminal region of the sucrose synthases belongs to the glycosyl transferase family PF00534.
PF14844.9,PH domain associated with Beige/BEACH,"This PH domain is found in proteins containing the Beige/BEACH domain (PF02138), it immediately precedes the Beige/BEACH domain."
PF12931.10,Sec23-binding domain of Sec16,"Sec16 is a multi-domain vesicle coat protein. The C-terminal region is the part that binds to Sec23, a COPII vesicle coat protein. This association is part of the transport vesicle coat structure."
PF03141.19,Putative S-adenosyl-L-methionine-dependent methyltransferase,"This family is a putative S-adenosyl-L-methionine (SAM)-dependent methyltransferase [1,2]."
PF00201.21,UDP-glucoronosyl and UDP-glucosyl transferase,"The human uridine 5'-diphospho-glucuronosyltransferase (UDP-glucuronosyltransferase, UGT) enzymes catalyse the glucuronidation reaction, which consists to the transfer of the glucuronosyl group from uridine 5'-diphospho-glucuronic acid (UDPGA) to active endogenous and exogenous molecules with oxygen, nitrogen, sulfur or carboxyl functional groups."
PF13489.9,Methyltransferase domain,This family appears to be a methyltransferase domain.
PF01909.26,Nucleotidyltransferase domain,Members of this family belong to a large family of nucleotidyltransferases. This family includes kanamycin nucleotidyltransferase (KNTase) which is a plasmid-coded enzyme responsible for some types of bacterial resistance to aminoglycosides. KNTase in-activates antibiotics by catalysing the addition of a nucleotidyl group onto the drug.
PF10497.12,Zinc-finger domain of monoamine-oxidase A repressor R1,R1 is a transcription factor repressor that inhibits monoamine oxidase A gene expression. This domain is a four-CXXC zinc finger putative DNA-binding domain found at the C-terminal end of R1. The domain carries 12 cysteines of which four pairs are of the CXXC type.
PF03847.16,Transcription initiation factor TFIID subunit A,"In molecular biology, this entry, TAF refers to a protein named the TATA box binding protein associated factor. TAF is part of the transcription initiation factor TFIID multimeric protein complex, or in simpler terms, the Pre-initiation complex (PIC)."
PF13912.9,C2H2-type zinc finger,
PF03372.26,Endonuclease/Exonuclease/phosphatase family,"This large family of proteins includes magnesium dependent endonucleases and a large number of phosphatases involved in intracellular signalling. This family includes: AP endonuclease proteins EC:4.2.99.18 e.g P27695 DNase I proteins EC:3.1.21.1 e.g. P24855 Synaptojanin an inositol-1,4,5-trisphosphate phosphatase EC:3.1.3.56 O43426 Sphingomyelinase EC:3.1.4.12 P11889 and Nocturnin O35710."
PF13637.9,Ankyrin repeats (many copies),Ankyrins are a family of proteins that mediate the attachment of integral membrane proteins to the spectrin-actin based membrane cytoskeleton.
PF12937.10,F-box-like,This is an F-box-like family.
PF01412.21,Putative GTPase activating protein for Arf,"Putative zinc fingers with GTPase activating proteins (GAPs) towards the small GTPase, Arf. The GAP of ARD1 stimulates GTPase hydrolysis for ARD1 but not ARFs."
PF13420.10,Acetyltransferase (GNAT) domain,Acetyltransferase is a type of transferase enzyme which transfers an acetyl group.
PF00643.27,B-box zinc finger,In molecular biology the B-box-type zinc finger domain is a short protein domain of around 40 amino acid residues in length.
PF05687.16,"BES1/BZR1 plant transcription factor, N-terminal","This family consists of the N terminal regions of several plant transcription factors. It is classified as BES1/BZR1, a plant-specific transcription factor that cooperates with transcription factors such as BIM1 to regulate brassinosteroid-induced genes."
PF00782.23,"Dual specificity phosphatase, catalytic domain","Ser/Thr and Tyr protein phosphatases. The enzymes tertiary fold is highly similar to that of tyrosine-specific phosphatases, except for a ""recognition"" region."
PF00176.26,SNF2-related domain,"This domain is found in proteins involved in a variety of processes including transcription regulation (e.g., SNF2, STH1, brahma, MOT1), DNA repair (e.g., ERCC6, RAD16, RAD5), DNA recombination (e.g., RAD54), and chromatin unwinding (e.g., ISWI) as well as a variety of other proteins with little functional information (e.g., lodestar, ETL1)[1,2,3]. SNF2 functions as the ATPase component of the SNF2/SWI multisubunit complex, which utilises energy derived from ATP hydrolysis to disrupt histone-DNA interactions, resulting in the increased accessibility of DNA to transcription factors."
PF05183.15,RNA dependent RNA polymerase,This family of proteins are eukaryotic RNA dependent RNA polymerases. These proteins are involved in post transcriptional gene silencing where they are thought to amplify dsRNA templates.
PF00332.21,Glycosyl hydrolases family 17,"In molecular biology, Glycoside hydrolase family 17 is a family of glycoside hydrolases."
PF17981.4,Cysteine Rich ADD domain,"Glycoside hydrolases EC 3.2.1. are a widespread group of enzymes that hydrolyse the glycosidic bond between two or more carbohydrates, or between a carbohydrate and a non-carbohydrate moiety."
PF13919.9,Asx homology domain,"A conserved alpha helical domain with a characteristic LXXLL motif . The LXXLL motif is detected in diverse transcription factors, coactivators and corepressors and is implicated in mediating interactions between them. The ASXH domain is found in animals, fungi and plants and is predicted to play a role in mediating contact between transcription factors and chromatin-associated complexes. In Drosophila Asx and Human ASXL1, the ASXH domain is predicted to mediate interactions with the Calypso and BAP1 deubiquitinases (DUBs) which further belong to the UCHL5/UCH37 clade of DUBs."
PF05066.16,"HB1, ASXL, restriction endonuclease HTH domain","A winged helix-turn-helix domain present in the plant HB1, vertebrate ASXL, the H. pylori restriction endonuclease HpyAIII(HgrA), the RNA polymerase delta subunit(RpoE) of Gram positive bacteria and several restriction endonucleases. The domain is distinguished by the presence of a conserved one-turn helix between helix-3 and the preceding conserved turn. Its diverse architectures in eukaryotic species with extensive gene body methylation is suggestive of a chromatin function. The genetic interaction of the HARE-HTH containing ASXL with the methyl cytosine hydroxylating Tet2 protein is suggestive of a role for the domain in discriminating sequences with DNA modifications such as hmC. Bacterial versions include fusions to diverse restriction endonucleases, and a DNA glycosylase where it may play a similar role in detecting modified DNA. Certain bacterial version of the HARE-HTH domain show fusions to the helix-hairpin-helix domain of the RNA polymerase alpha subunit and the HTH domains found in regions 3 and 4 of the sigma factors. These versions are predicted to function as a novel inhibitor of the binding of RNA polymerase to transcription start sites, similar to the Bacillus delta protein [2,3]."
PF01370.24,NAD dependent epimerase/dehydratase family,This family of proteins utilise NAD as a cofactor. The proteins in this family use nucleotide-sugar substrates for a variety of chemical reactions.
PF16421.8,E2F transcription factor CC-MB domain,"This is the coiled coil (CC) - marked box (MB) domain of E2F transcription factors. This domain forms a heterodimer with the corresponding domain of the DP transcription factor, the heterodimer binds the C-terminus of retinoblastoma protein."
PF09133.13,SANTA (SANT Associated),The SANTA domain (SANT Associated domain) is approximately 90 amino acids in length and is conserved in Eukaryota. It is sometimes found in association with the SANT domain (PF00249 also known as Myb-like DNA-binding domain) implying a putative function in regulating chromatin remodelling. Sequence analysis has showed that the SANTA domain is likely to form four central beta-sheets with three flanking alpha- helixes. Many conserved hydrophobic residues are present which implying a possible role in protein-protein interactions.
PF04851.18,"Type III restriction enzyme, res subunit","This entry represents a domain found in the N terminus of several proteins, including helicases, the R subunit (HsdR) of type I restriction endonucleases ( EC ), the Res subunit of type III endonucleases ( EC ), and the B subunit of excinuclease ABC (uvrB)"
PF13692.9,Glycosyl transferases group 1,
PF12971.10,Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain,"Alpha-N-acetylglucosaminidase, a lysosomal enzyme required for the stepwise degradation of heparan sulfate. Mutations on the alpha-N-acetylglucosaminidase (NAGLU) gene can lead to Mucopolysaccharidosis type IIIB (MPS IIIB; or Sanfilippo syndrome type B) characterised by neurological dysfunction but relatively mild somatic manifestations. The structure shows that the enzyme is composed of three domains. This N-terminal domain has an alpha-beta fold."
PF16596.8,Disordered region downstream of MFMR,"This is a conserved region of disorder, identified with the MobiDB database, found in plants immediately to the C-terminus of the MFMR domain."
PF08766.14,DEK C terminal domain,DEK is a chromatin associated protein that is linked with cancers and autoimmune disease. This domain is found at the C terminal of DEK and is of clinical importance since it can reverse the characteristic abnormal DNA-mutagen sensitivity in fibroblasts from ataxia-telangiectasia (A-T) patients. The structure of this domain shows it to be homologous to the E2F/DP transcription factor family. This domain is also found in chitin synthase proteins like Q8TF96 and in protein phosphastases such as Q6NN85.
PF16495.8,SWIRM-associated region 1,"Much of the higher eukaryote SWI/SNF complex subunit SMARCC2 proteins is of low-complexity and or disordered. However, there are several short regions that are quite highly conserved. This is one of these regions. The function of the individual regions is not known."
PF04192.15,Utp21 specific WD40 associated putative domain,"Utp21 is a subunit of U3 snoRNP, which is essential for synthesis of 18S rRNA."
PF08536.14,Whirly transcription factor,This family contains the plant whirly transcription factors.
PF08700.14,Vps51/Vps67,"This family includes a presumed domain found in a number of components of vesicular transport. The VFT tethering complex (also known as GARP complex, Golgi associated retrograde protein complex, Vps53 tethering complex) is a conserved eukaryotic docking complex which is involved recycling of proteins from endosomes to the late Golgi. Vps51 (also known as Vps67) is a subunit of VFT and interacts with the SNARE Tlg1. Cog1_N is the N-terminus of the Cog1 subunit of the eight-unit Conserved Oligomeric Golgi (COG) complex that participates in retrograde vesicular transport and is required to maintain normal Golgi structure and function. The subunits are located in two lobes and Cog1 serves to bind the two lobes together probably via the highly conserved N-terminal domain of approximately 85 residues."
PF07744.16,SPOC domain,The SPOC (Spen paralogue and orthologue C-terminal) domain is involved in developmental signalling.
PF07526.14,Associated with HOX,The function of this domain is unknown. It is often found in plant proteins associated with PF00046.
PF12896.10,"Anaphase-promoting complex, cyclosome, subunit 4","Apc4 is one of the larger of the subunits of the anaphase-promoting complex or cyclosome. This family represents the long domain downstream of the WD40 repeat/s that are present on the Apc4 subunits. The anaphase-promoting complex is a multiprotein subunit E3 ubiquitin ligase complex that controls segregation of chromosomes and exit from mitosis in eukaryotes [1,2]. Results in C.elegans show that the primary essential role of the spindle assembly checkpoint is not in the chromosome segregation process itself but rather in delaying anaphase onset until all chromosomes are properly attached to the spindle. the APC/C is likely to be required for all metaphase-to-anaphase transitions in a multicellular organism."
PF00025.24,ADP-ribosylation factor family,Pfam combines a number of different Prosite families together
PF00642.27,Zinc finger C-x8-C-x5-C-x3-H type (and similar),Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule.
PF08879.13,WRC,"The WRC domain, named after the conserved Trp-Arg-Cys motif, contains two distinctive features: a putative nuclear localisation signal and a zinc-finger motif (C3H). It is suggested that the WRC domain functions in DNA binding."
PF14379.9,"MYB-CC type transfactor, LHEQLE motif","This family is found towards the C-terminus of Myb-CC type transcription factors, and carries a highly conserved LHEQLE sequence motif."
PF01593.27,Flavin containing amine oxidoreductase,"This family consists of various amine oxidases, including maze polyamine oxidase (PAO) and various flavin containing monoamine oxidases (MAO). The aligned region includes the flavin binding site of these enzymes. The family also contains phytoene dehydrogenases and related enzymes. In vertebrates MAO plays an important role regulating the intracellular levels of amines via there oxidation; these include various neurotransmitters, neurotoxins and trace amines. In lower eukaryotes such as aspergillus and in bacteria the main role of amine oxidases is to provide a source of ammonium. PAOs in plants, bacteria and protozoa oxidase spermidine and spermine to an aminobutyral, diaminopropane and hydrogen peroxide and are involved in the catabolism of polyamines. Other members of this family include tryptophan 2-monooxygenase, putrescine oxidase, corticosteroid binding proteins and antibacterial glycoproteins."
PF01786.20,Alternative oxidase,"The alternative oxidase is used as a second terminal oxidase in the mitochondria, electrons are transfered directly from reduced ubiquinol to oxygen forming water. This is not coupled to ATP synthesis and is not inhibited by cyanide, this pathway is a single step process. In rice the transcript levels of the alternative oxidase are increased by low temperature."
PF02373.25,"JmjC domain, hydroxylase","The JmjC domain belongs to the Cupin superfamily. JmjC-domain proteins may be protein hydroxylases that catalyse a novel histone modification. This is confirmed to be a hydroxylase: the human JmjC protein named Tyw5p unexpectedly acts in the biosynthesis of a hypermodified nucleoside, hydroxy-wybutosine, in tRNA-Phe by catalysing hydroxylation."
PF13812.9,Pentatricopeptide repeat domain,"This family matches additional variants of the PPR repeat that were not captured by the model for PF01535. In the case of the Arabidopsis protein UniProtKB:Q66GI4 the repeated helices in this N-terminal region, of protein-only RNase P (PRORP) enzymes, form the pentatricopeptide repeat (PPR) domain which enhances pre-tRNA binding affinity. PROPRP enzymes process precursor tRNAs in human mitochondria and in all tRNA-using compartments of Arabidopsis thaliana."
PF03224.17,V-ATPase subunit H,The yeast Saccharomyces cerevisiae vacuolar H+-ATPase (V-ATPase) is a multisubunit complex responsible for acidifying organelles. It functions as an ATP dependent proton pump that transports protons across a lipid bilayer. This domain corresponds to the N terminal domain of the H subunit of V-ATPase. The N-terminal domain is required for the activation of the complex whereas the C-terminal domain is required for coupling ATP hydrolysis to proton translocation.
PF08718.14,Glycolipid transfer protein (GLTP),GLTP is a cytosolic protein that catalyses the intermembrane transfer of glycolipids.
PF03630.17,Fumble,"Fumble is required for cell division in Drosophila. Mutants lacking fumble exhibit abnormalities in bipolar spindle organisation, chromosome segregation, and contractile ring formation. Analyses have demonstrated that encodes three protein isoforms, all of which contain a domain with high similarity to the pantothenate kinases of A. nidulans and. A role of fumble in membrane synthesis has been."
PF01168.23,"Alanine racemase, N-terminal domain","Shaw JP, Petsko GA, Ringe D; , Biochemistry 1997;36:1329-1342.: Determination of the structure of alanine racemase from Bacillus stearothermophilus at 1.9-A resolution. PUBMED:9063881 EPMC:9063881"
PF12998.10,Inhibitor of growth proteins N-terminal histone-binding,"Histones undergo numerous post-translational modifications, including acetylation and methylation, at residues which are then probable docking sites for various chromatin remodelling complexes. Inhibitor of growth proteins (INGs) specifically bind to residues that have been thus modified. INGs carry a well-characterised C-terminal PHD-type zinc-finger domain, binding with lysine 4-tri-methylated histone H3 (H3K4me3), as well as this N-terminal domain that binds unmodified H3 tails. Although these two regions can bind histones independently, together they increase the apparent association of the ING for the H3 tail."
PF05983.14,MED7 protein,This family consists of several eukaryotic proteins which are homologues of the yeast MED7 protein. Activation of gene transcription in metazoans is a multi-step process that is triggered by factors that recognise transcriptional enhancer sites in DNA. These factors work with co-activators such as MED7 to direct transcriptional initiation by the RNA polymerase II apparatus.
PF03859.19,CG-1 domain,CG-1 domains are highly conserved domains of about 130 amino-acid residues containing a predicted bipartite NLS and named after a partial cDNA clone isolated from parsley encoding a sequence-specific DNA-binding protein. CG-1 domains are associated with CAMTA proteins (for CAlModulin -binding Transcription Activator) that are transcription factors containing a calmodulin -binding domain and ankyrins (ANK) motifs.
PF04618.15,HD-ZIP protein N terminus,This family consists of the N termini of plant homeobox-leucine zipper proteins. Its function is unknown.
PF14144.9,Seed dormancy control,This family of plant proteins appears to be a highly specific controller seed dormancy.
PF08263.15,Leucine rich repeat N-terminal domain,Leucine Rich Repeats PF00560 are short sequence motifs present in a number of proteins with diverse functions and cellular locations. Leucine Rich Repeats are often flanked by cysteine rich domains. This domain is often found at the N-terminus of tandem leucine rich repeats.
PF15963.8,Myb DNA-binding like,"Transcription by RNA polymerase III (pol III) is a complex molecular process orchestrated by the two main transcription factors, TFIIIB and TFIIIC."
PF05368.16,NmrA-like family,NmrA is a negative transcriptional regulator involved in the post-translational modification of the transcription factor AreA. NmrA is part of a system controlling nitrogen metabolite repression in fungi. This family only contains a few sequences as iteration results in significant matches to other Rossmann fold families.
PF08477.16,"Ras of Complex, Roc, domain of DAPkinase","Roc, or Ras of Complex, proteins are mitochondrial Rho proteins (Miro-1, Q8IXI2 and Miro-2, Q8IXI1) and atypical Rho GTPases. Full-length proteins have a unique domain organisation, with tandem GTP-binding domains and two EF hand domains (PF00036) that may bind calcium. They are also larger than classical small GTPases. It has been proposed that they are involved in mitochondrial homeostasis and apoptosis [1,2,3,4]."
PF13302.10,Acetyltransferase (GNAT) domain,This domain catalyses N-acetyltransferase reactions.
PF01096.21,Transcription factor S-II (TFIIS),Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule.
PF14681.9,Uracil phosphoribosyltransferase,This family includes the enzyme uracil phosphoribosyltransferase ( EC:2.4.2.9). This enzyme catalyzes the first step of UMP biosynthesis.
PF05499.15,DNA methyltransferase 1-associated protein 1 (DMAP1),"DNA methylation can contribute to transcriptional silencing through several transcriptionally repressive complexes, which include methyl-CpG binding domain proteins (MBDs) and histone deacetylases (HDACs). The chief enzyme that maintains mammalian DNA methylation, DNMT1, can also establish a repressive transcription complex. The non-catalytic amino terminus of DNMT1 binds to HDAC2 and DMAP1 (for DNMT1 associated protein), and can mediate transcriptional repression. DMAP1 has intrinsic transcription repressive activity, and binds to the transcriptional co-repressor TSG101. DMAP1 is targeted to replication foci through interaction with the far N terminus of DNMT1 throughout S phase, whereas HDAC2 joins DNMT1 and DMAP1 only during late S phase, providing a platform for how histones may become deacetylated in heterochromatin following replication."
PF06217.15,GAGA binding protein-like family,This family includes gbp a protein from Soybean that binds to GAGA element dinucleotide repeat DNA. It seems likely that the this domain mediates DNA binding. This putative domain contains several conserved cysteines and a histidine suggesting this may be a zinc-binding DNA interaction domain.
PF13923.9,"Zinc finger, C3HC4 type (RING finger)",
PF17800.4,Nucleoplasmin-like domain,"Edlich-Muth C, Artero JB, Callow P, Przewloka MR, Watson AA, Zhang W, Glover DM, Debski J, Dadlez M, Round AR, Forsyth VT, Laue ED;, J Mol Biol. 2015;427:1949-1963.: The pentameric nucleoplasmin fold is present in Drosophila FKBP39 and a large number of chromatin-related proteins. PUBMED:25813344 EPMC:25813344"
PF12776.10,Myb/SANT-like DNA-binding domain,This presumed domain appears to be related to other Myb/SANT like DNA binding domains. In particular PF10545 seems most related. This family is greatly expanded in plants and appears in several proteins annotated as transposon proteins.
PF05920.14,Homeobox KN domain,"This is a homeobox transcription factor KN domain conserved from fungi to human and plants. They were first identified as TALE homeobox genes in eukaryotes, (including KNOX and MEIS genes) [1,2,3]. They have been recently classified [4,5,6]."
PF01388.24,ARID/BRIGHT DNA binding domain,This domain is know as ARID for AT-Rich Interaction Domain and also known as the BRIGHT domain.
PF03131.20,bZIP Maf transcription factor,"Maf transcription factors contain a conserved basic region leucine zipper (bZIP) domain, which mediates their dimerisation and DNA binding property. Thus, this family is probably related to PF00170. This family also includes the DNA_binding domain of Skn-1 (P34707), this domain lacks the leucine zipper found in other bZip domains, and binds DNA is a monomer [2,3]."
PF01209.21,ubiE/COQ5 methyltransferase family,"This entry represents a family of methyltransferases involved in the biosynthesis of menaquinone and ubiqinone. Some members such as the UbiE enzyme from E. coli [ PUBMED:9045837 ] are believed to act in both pathways, while others may act in only the menaquinone pathway."
PF13638.9,PIN domain,Members of this family of bacterial domains are predicted to be RNases (from similarities to 5-exonucleases).
PF00512.28,His Kinase A (phospho-acceptor) domain,Dimerisation and phospho-acceptor domain of histidine kinases.
PF00072.27,Response regulator receiver domain,This domain receives the signal from the sensor partner in bacterial two-component systems. It is usually found N-terminal to a DNA binding effector domain.
PF01088.24,"Ubiquitin carboxyl-terminal hydrolase, family 1","Johnston SC, Larsen CN, Cook WJ, Wilkinson KD, Hill CP; , EMBO J 1997;16:3787-3796.: Crystal structure of a deubiquitinating enzyme (human UCH-L3) at 1.8 A resolution. PUBMED:9233788 EPMC:9233788"
PF13537.9,Glutamine amidotransferase domain,This domain is a class-II glutamine amidotransferase domain found in a variety of enzymes such as asparagine synthetase and glutamine-fructose-6-phosphate transaminase.
PF13921.9,Myb-like DNA-binding domain,"This family contains the DNA binding domains from Myb proteins, as well as the SANT domain family."
PF04670.15,Gtr1/RagA G protein conserved region,"GTR1 was first identified in S. cerevisiae as a suppressor of a mutation in RCC1. Biochemical analysis revealed that Gtr1 is in fact a G protein of the Ras family. The RagA/B proteins are the human homologues of Gtr1. Included in this family is the human Rag C, a novel protein that has been shown to interact with RagA/B [1,2,3,4]."
PF01781.21,Ribosomal L38e protein family,"Kuwano Y, Olvera J, Wool IG; , Biochem Biophys Res Commun 1991;175:551-555.: The primary structure of rat ribosomal protein L38. PUBMED:1840484 EPMC:1840484"
